pid,pnombre,precio,pdescripcion,ptipo
267,pollo,6605,carne,comestible
357,mouse,14549,producto tecnologico,no comestible
295,manzana,11013,frutas,comestible
158,hamburguesa de pollo,10287,hamburguesa,comestible
379,hamburguesa de vacuno,11754,hamburguesa,comestible
382,kiwi,10967,frutas,comestible
367,teclado,7331,producto tecnologico,no comestible
327,hallulla,6887,pan,comestible
83, frutillas en conserva,12139,fruta en conserva,comestible
412,marraqueta,14464,pan,comestible
384,pantalla lineas,13539,pantalla de luz,no comestible
394,limon,5808,verduras,comestible
150,salmon,6044,pescado congelado,comestible
331,lenguado,6376,pescado congelado,comestible
191,marraqueta,6589,pan,comestible
151,cerdo congelado,13962,carne congelada,comestible
284,marraqueta,14433,pan,comestible
13,esparragos frasco,14537,verdura en conserva,comestible
257,pantalon,12445,ropa,no comestible
41,hamburguesa de verduras,13789,hamburguesa,comestible
40,pantalla lisa,11843,pantalla de luz,no comestible
75,lechuga,7914,verduras,comestible
32,pantalla para colgar,6200,pantalla de luz,no comestible
104,chaqueta,9435,ropa,no comestible
313,platano,12727,frutas,comestible
171,mix de frutas en conserva,8658,fruta en conserva,comestible
399,mouse,14474,producto tecnologico,no comestible
401,arvejas congeladas,14782,verduras congeladas,comestible
400,mix de verduras congeladas,13648,verduras congeladas,comestible
368,limon,12932,verduras,comestible
167,hamburguesa de vacuno,9224,hamburguesa,comestible
389,manzana,7436,frutas,comestible
341,pollo congelado,10534,carne congelada,comestible
352,mix de frutas en conserva,14348,fruta en conserva,comestible
30,vacuno,8973,carne,comestible
356,kiwi,14585,frutas,comestible
128,pavo,9003,carne,comestible
378,televisor,10657,producto tecnologico,no comestible
57,cerdo,7160,carne,comestible
110,pantalla papel,9914,pantalla de luz,no comestible
63,arvejas congeladas,14607,verduras congeladas,comestible
9,hamburguesa de verduras,11678,hamburguesa,comestible
163,carne molida,7134,carne congelada,comestible
369,tomate,13568,verduras,comestible
61,vacuno,5898,carne,comestible
39,merlusa,10053,pescado congelado,comestible
381,pantalla para colgar,8882,pantalla de luz,no comestible
220,manzana,11649,frutas,comestible
256,porotos congelados,14619,verduras congeladas,comestible
92,garbanzos en conserva,11554,verdura en conserva,comestible
302,teclado,8227,producto tecnologico,no comestible
275,pantalla lisa,13875,pantalla de luz,no comestible
116,cerdo congelado,11027,carne congelada,comestible
376,arvejas en conserva,14460,verdura en conserva,comestible
37,cerdo,13208,carne,comestible
370,pera,14775,frutas,comestible
122,porotos congelados,11540,verduras congeladas,comestible
219,papaya en conserva,13561,fruta en conserva,comestible
28,cerdo,12064,carne,comestible
135,arvejas congeladas,9491,verduras congeladas,comestible
182,manzana,14158,frutas,comestible
332,pantalla lisa,7833,pantalla de luz,no comestible
87,teclado,12613,producto tecnologico,no comestible
142,mix de frutas en conserva,5219,fruta en conserva,comestible
344,pantalla para colgar,11629,pantalla de luz,no comestible
53,durazno,5640,frutas,comestible
73,pantalla lineas,8949,pantalla de luz,no comestible
102,televisor,5303,producto tecnologico,no comestible
351,vacuno congelado,11224,carne congelada,comestible
360,pantalla papel,11751,pantalla de luz,no comestible
348,mouse,14046,producto tecnologico,no comestible
218,hamburguesa de pollo,8248,hamburguesa,comestible
244,pantalla para colgar,5174,pantalla de luz,no comestible
278,camiseta,9381,ropa,no comestible
315,pantalla lisa,13048,pantalla de luz,no comestible
291,arvejas congeladas,9580,verduras congeladas,comestible
303,pantalla lisa,14182,pantalla de luz,no comestible
127,pan de molde,9653,pan,comestible
229,merlusa,8380,pescado congelado,comestible
176,salmon,6261,pescado congelado,comestible
314,pavo congelado,12293,carne congelada,comestible
93,pan de molde,11181,pan,comestible
5,mix de verduras congeladas,11791,verduras congeladas,comestible
297,pantalla para colgar,6596,pantalla de luz,no comestible
7,pantalla lineas,10802,pantalla de luz,no comestible
133,reineta,7700,pescado congelado,comestible
254,kiwi,7974,frutas,comestible
226,carne molida,5033,carne congelada,comestible
208,telefono,9760,producto tecnologico,no comestible
0,merlusa,8706,pescado congelado,comestible
181,hamburguesa de verduras,5304,hamburguesa,comestible
62, frutillas en conserva,6958,fruta en conserva,comestible
160,merlusa,10910,pescado congelado,comestible
246,pollo,9006,carne,comestible
409,pantalla lineas,12158,pantalla de luz,no comestible
340,pantalla para colgar,5107,pantalla de luz,no comestible
20,cerdo,12012,carne,comestible
22,televisor,5912,producto tecnologico,no comestible
119,hamburguesa de vacuno,12701,hamburguesa,comestible
187,carne molida,12944,carne congelada,comestible
312,pantalla papel,6898,pantalla de luz,no comestible
205,lechuga,5224,verduras,comestible
404,mix de verduras congeladas,14681,verduras congeladas,comestible
385,limon,11324,verduras,comestible
192,telefono,12648,producto tecnologico,no comestible
279,merlusa,9334,pescado congelado,comestible
245,pantalla lisa,6627,pantalla de luz,no comestible
273,hallulla,12150,pan,comestible
154,telefono,13859,producto tecnologico,no comestible
18,palta,14117,verduras,comestible
60,pantalla para colgar,8436,pantalla de luz,no comestible
78,hamburguesa de quinoa,7460,hamburguesa,comestible
308,mix de verduras congeladas,6920,verduras congeladas,comestible
414,pantalla lineas,11871,pantalla de luz,no comestible
298,vestido,5065,ropa,no comestible
326,esparragos frasco,14352,verdura en conserva,comestible
175,hallulla,11970,pan,comestible
405,pavo,7717,carne,comestible
76,manzana,9326,frutas,comestible
396,porotos congelados,8296,verduras congeladas,comestible
363,jeans,7348,ropa,no comestible
1,mix de frutas en conserva,10730,fruta en conserva,comestible
140,teclado,6971,producto tecnologico,no comestible
292,vacuno congelado,12122,carne congelada,comestible
16,hamburguesa de quinoa,5914,hamburguesa,comestible
311,vestido,14898,ropa,no comestible
377,telefono,14256,producto tecnologico,no comestible
222,vestido,10689,ropa,no comestible
38,cerdo congelado,5036,carne congelada,comestible
153,pantalla papel,8665,pantalla de luz,no comestible
224,camiseta,12133,ropa,no comestible
138,marraqueta,9334,pan,comestible
211,hamburguesa de quinoa,13949,hamburguesa,comestible
264,hamburguesa de vacuno,14847,hamburguesa,comestible
46,palta,13279,verduras,comestible
94,pollo congelado,6136,carne congelada,comestible
25,lechuga,7704,verduras,comestible
214,cerdo,6063,carne,comestible
143,vacuno,13742,carne,comestible
66,vacuno congelado,12014,carne congelada,comestible
402,salmon,6712,pescado congelado,comestible
371,marraqueta,11380,pan,comestible
168,hallulla,6062,pan,comestible
209,televisor,10968,producto tecnologico,no comestible
238,reineta,10784,pescado congelado,comestible
366,pantalla papel,8830,pantalla de luz,no comestible
318,pavo,6208,carne,comestible
79,teclado,5555,producto tecnologico,no comestible
3,merlusa,13317,pescado congelado,comestible
268,teclado,12598,producto tecnologico,no comestible
101,mix de verduras congeladas,8253,verduras congeladas,comestible
334,pantalla lineas,9860,pantalla de luz,no comestible
33, frutillas en conserva,9530,fruta en conserva,comestible
162,pollo,9026,carne,comestible
304,jeans,8403,ropa,no comestible
392,arvejas en conserva,13884,verdura en conserva,comestible
74,pantalla lisa,14478,pantalla de luz,no comestible
35,hamburguesa de vacuno,13174,hamburguesa,comestible
301,carne molida,6414,carne congelada,comestible
380,reineta,6388,pescado congelado,comestible
261,palta,13207,verduras,comestible
198,mouse,12730,producto tecnologico,no comestible
85,salmon,9211,pescado congelado,comestible
206,lenguado,8200,pescado congelado,comestible
125,teclado,6734,producto tecnologico,no comestible
174,vacuno,14113,carne,comestible
215,durazno,9245,frutas,comestible
113,hamburguesa de verduras,8820,hamburguesa,comestible
36,lenguado,12514,pescado congelado,comestible
397,palta,13962,verduras,comestible
70,vacuno congelado,14623,carne congelada,comestible
157,hamburguesa de pollo,14465,hamburguesa,comestible
34,mix de verduras congeladas,13386,verduras congeladas,comestible
252,pavo congelado,6840,carne congelada,comestible
98,teclado,5890,producto tecnologico,no comestible
49,televisor,11837,producto tecnologico,no comestible
408,garbanzos en conserva,12008,verdura en conserva,comestible
84,pantalla lisa,14987,pantalla de luz,no comestible
217,pollo,13965,carne,comestible
269,televisor,11826,producto tecnologico,no comestible
166,reineta,12040,pescado congelado,comestible
388,hamburguesa de vacuno,8376,hamburguesa,comestible
375,pollo congelado,7447,carne congelada,comestible
411,durazno,11230,frutas,comestible
172,polera,11996,ropa,no comestible
68,camisa,5009,ropa,no comestible
21,televisor,12324,producto tecnologico,no comestible
266,poleron,11997,ropa,no comestible
237,marraqueta,6179,pan,comestible
293,vacuno congelado,7891,carne congelada,comestible
265,telefono,6947,producto tecnologico,no comestible
195,reineta,8674,pescado congelado,comestible
347,salmon,5361,pescado congelado,comestible
134,jeans,10305,ropa,no comestible
45,salmon,10211,pescado congelado,comestible
82,durazno,9861,frutas,comestible
26,manzana,7438,frutas,comestible
194,hallulla,9444,pan,comestible
321,esparragos frasco,9752,verdura en conserva,comestible
210,pantalla lisa,7658,pantalla de luz,no comestible
15,durazno,13302,frutas,comestible
107,esparragos frasco,7134,verdura en conserva,comestible
355,mix de frutas en conserva,12120,fruta en conserva,comestible
258,chaqueta,13813,ropa,no comestible
148,palta,9424,verduras,comestible
270,hamburguesa de verduras,12794,hamburguesa,comestible
95,esparragos frasco,9882,verdura en conserva,comestible
353,pavo congelado,7137,carne congelada,comestible
309,carne molida,5014,carne congelada,comestible
165,camiseta,10613,ropa,no comestible
123,choclo congelado,14418,verduras congeladas,comestible
338,mix de frutas en conserva,10464,fruta en conserva,comestible
413,durazno en conserva,12428,fruta en conserva,comestible
247,poleron,12512,ropa,no comestible
248,pantalla para colgar,8944,pantalla de luz,no comestible
111,lechuga,8330,verduras,comestible
81,hamburguesa de vacuno,8644,hamburguesa,comestible
55,mouse,6334,producto tecnologico,no comestible
283,telefono,12515,producto tecnologico,no comestible
287,carne molida,14751,carne congelada,comestible
56,lenguado,5173,pescado congelado,comestible
89,pantalla lineas,6647,pantalla de luz,no comestible
120,marraqueta,13520,pan,comestible
300,durazno en conserva,5467,fruta en conserva,comestible
231,jeans,13914,ropa,no comestible
398,pantalla papel,14579,pantalla de luz,no comestible
184,hamburguesa de vacuno,6871,hamburguesa,comestible
131,cerdo congelado,8452,carne congelada,comestible
416,esparragos frasco,6807,verdura en conserva,comestible
44,lenguado,12660,pescado congelado,comestible
260,limon,10707,verduras,comestible
329,hallulla,12550,pan,comestible
90,mix de verduras congeladas,9916,verduras congeladas,comestible
129,pan de molde,10062,pan,comestible
272,salmon,6760,pescado congelado,comestible
236,mouse,11941,producto tecnologico,no comestible
27,hamburguesa de pollo,13436,hamburguesa,comestible
42,cerdo,6686,carne,comestible
23,arvejas congeladas,12666,verduras congeladas,comestible
320,pantalla lineas,8495,pantalla de luz,no comestible
349, frutillas en conserva,7657,fruta en conserva,comestible
19,durazno en conserva,8421,fruta en conserva,comestible
286,manzana,13091,frutas,comestible
262,lenguado,14080,pescado congelado,comestible
372,mouse,9082,producto tecnologico,no comestible
197,pantalla papel,10497,pantalla de luz,no comestible
186,lechuga,13393,verduras,comestible
415,pantalla lineas,8289,pantalla de luz,no comestible
126,teclado,12241,producto tecnologico,no comestible
285,durazno,13057,frutas,comestible
403,vestido,11750,ropa,no comestible
121,pan de molde,7108,pan,comestible
11,papaya en conserva,7060,fruta en conserva,comestible
322,mix de verduras congeladas,11198,verduras congeladas,comestible
31,papaya en conserva,8954,fruta en conserva,comestible
234,brocoli,10802,verduras,comestible
386,carne molida,7866,carne congelada,comestible
137,jeans,11374,ropa,no comestible
202,garbanzos en conserva,14323,verdura en conserva,comestible
159,esparragos frasco,13153,verdura en conserva,comestible
235,vacuno,8664,carne,comestible
305,teclado,9834,producto tecnologico,no comestible
294,pollo congelado,10551,carne congelada,comestible
178,manzana,13975,frutas,comestible
200,hamburguesa de verduras,5681,hamburguesa,comestible
88,mouse,12978,producto tecnologico,no comestible
99,arvejas congeladas,12265,verduras congeladas,comestible
12,mix de frutas en conserva,9432,fruta en conserva,comestible
199,garbanzos en conserva,9115,verdura en conserva,comestible
228, frutillas en conserva,13599,fruta en conserva,comestible
390,vacuno congelado,12201,carne congelada,comestible
354,pollo congelado,8252,carne congelada,comestible
230,pantalla para colgar,5925,pantalla de luz,no comestible
239,merlusa,8602,pescado congelado,comestible
52,manzana,7327,frutas,comestible
325,cerdo congelado,8676,carne congelada,comestible
169,hallulla,12245,pan,comestible
299,arvejas congeladas,7343,verduras congeladas,comestible
106,pantalla papel,8041,pantalla de luz,no comestible
6,marraqueta,7830,pan,comestible
243,choclo congelado,6481,verduras congeladas,comestible
14,durazno en conserva,8285,fruta en conserva,comestible
65,hamburguesa de verduras,7556,hamburguesa,comestible
67,limon,13531,verduras,comestible
410,salmon,12879,pescado congelado,comestible
185,cerdo,12579,carne,comestible
346,porotos congelados,7726,verduras congeladas,comestible
395,choclo en conserva,11836,verdura en conserva,comestible
335,pan de molde,7937,pan,comestible
170,mix de verduras congeladas,7212,verduras congeladas,comestible
8,pantalla papel,5556,pantalla de luz,no comestible
383,hamburguesa de verduras,9105,hamburguesa,comestible
69,teclado,11714,producto tecnologico,no comestible
156,hallulla,11210,pan,comestible
24,teclado,9510,producto tecnologico,no comestible
179,teclado,12795,producto tecnologico,no comestible
59,durazno en conserva,5186,fruta en conserva,comestible
271,televisor,9188,producto tecnologico,no comestible
177,hamburguesa de pollo,6480,hamburguesa,comestible
316,vacuno,13806,carne,comestible
333,pantalla lineas,6062,pantalla de luz,no comestible
330,cerdo,7094,carne,comestible
108,pantalla papel,14454,pantalla de luz,no comestible
58,hamburguesa de vacuno,5337,hamburguesa,comestible
149,pan de molde,13136,pan,comestible
417,pollo,10015,carne,comestible
350,brocoli,7862,verduras,comestible
253,platano,14191,frutas,comestible
364,mouse,11097,producto tecnologico,no comestible
117,telefono,6853,producto tecnologico,no comestible
48,cerdo,13194,carne,comestible
343,choclo en conserva,12429,verdura en conserva,comestible
152,lenguado,13791,pescado congelado,comestible
43,telefono,12517,producto tecnologico,no comestible
72,camisa,9228,ropa,no comestible
51,limon,10356,verduras,comestible
391,choclo en conserva,8087,verdura en conserva,comestible
255,vacuno congelado,5421,carne congelada,comestible
387,lenguado,6433,pescado congelado,comestible
77,hallulla,14637,pan,comestible
263,pantalla papel,14631,pantalla de luz,no comestible
47,jeans,10242,ropa,no comestible
86,televisor,13862,producto tecnologico,no comestible
155,vestido,12164,ropa,no comestible
282,salmon,11494,pescado congelado,comestible
216,pera,14400,frutas,comestible
124,garbanzos en conserva,11677,verdura en conserva,comestible
204,durazno,7673,frutas,comestible
277,limon,7442,verduras,comestible
227,arvejas en conserva,13905,verdura en conserva,comestible
296,salmon,9495,pescado congelado,comestible
71,papaya en conserva,14577,fruta en conserva,comestible
345,hamburguesa de verduras,12480,hamburguesa,comestible
103,hamburguesa de vacuno,11871,hamburguesa,comestible
147,arvejas en conserva,10396,verdura en conserva,comestible
80,pera,11624,frutas,comestible
136,pollo,8650,carne,comestible
64,marraqueta,11303,pan,comestible
358,platano,10315,frutas,comestible
233,cerdo congelado,7670,carne congelada,comestible
193,reineta,12780,pescado congelado,comestible
141,mix de frutas en conserva,6583,fruta en conserva,comestible
319,vacuno,13414,carne,comestible
130,hamburguesa de verduras,11010,hamburguesa,comestible
105,hamburguesa de vacuno,14223,hamburguesa,comestible
339,telefono,5181,producto tecnologico,no comestible
173,porotos congelados,14661,verduras congeladas,comestible
362,pavo congelado,12446,carne congelada,comestible
190,pantalla papel,14669,pantalla de luz,no comestible
324,poleron,6437,ropa,no comestible
274,pera,11410,frutas,comestible
109,brocoli,7370,verduras,comestible
2,pantalla lisa,5609,pantalla de luz,no comestible
115, frutillas en conserva,9542,fruta en conserva,comestible
289,salmon,14016,pescado congelado,comestible
132,mix de verduras congeladas,10478,verduras congeladas,comestible
288,mix de verduras congeladas,6320,verduras congeladas,comestible
280,pollo congelado,6003,carne congelada,comestible
259,vestido,8209,ropa,no comestible
221,salmon,7372,pescado congelado,comestible
276,pantalla para colgar,6897,pantalla de luz,no comestible
317,pantalla lineas,13847,pantalla de luz,no comestible
342,tomate,6548,verduras,comestible
250,vacuno,14397,carne,comestible
144,tomate,8242,verduras,comestible
310,manzana,11868,frutas,comestible
50,pollo congelado,12523,carne congelada,comestible
249,lechuga,8099,verduras,comestible
10,reineta,10545,pescado congelado,comestible
139,hamburguesa de quinoa,13665,hamburguesa,comestible
290,hallulla,8722,pan,comestible
207, frutillas en conserva,6563,fruta en conserva,comestible
212,hamburguesa de quinoa,12482,hamburguesa,comestible
240,salmon,7427,pescado congelado,comestible
337,pantalla lineas,11430,pantalla de luz,no comestible
213,calcetin,14881,ropa,no comestible
281,vestido,6522,ropa,no comestible
336,esparragos frasco,7752,verdura en conserva,comestible
189,telefono,13048,producto tecnologico,no comestible
225,pantalla papel,8193,pantalla de luz,no comestible
242,marraqueta,6667,pan,comestible
232,mouse,7653,producto tecnologico,no comestible
241,durazno en conserva,12190,fruta en conserva,comestible
361,mouse,10779,producto tecnologico,no comestible
393,televisor,8016,producto tecnologico,no comestible
183,hallulla,10309,pan,comestible
96,pavo,6717,carne,comestible
100,camisa,14690,ropa,no comestible
112,hallulla,11425,pan,comestible
373,pantalla papel,5674,pantalla de luz,no comestible
146,poleron,12236,ropa,no comestible
17,camiseta,14514,ropa,no comestible
223,reineta,8439,pescado congelado,comestible
323,vacuno,11553,carne,comestible
164,platano,13220,frutas,comestible
29,limon,13395,verduras,comestible
306,hamburguesa de verduras,7976,hamburguesa,comestible
54,papaya en conserva,6280,fruta en conserva,comestible
196,reineta,13212,pescado congelado,comestible
359,hamburguesa de vacuno,9503,hamburguesa,comestible
307,marraqueta,10434,pan,comestible
4,hallulla,13556,pan,comestible
406,pantalla para colgar,5421,pantalla de luz,no comestible
251,vacuno,13598,carne,comestible
201,arvejas en conserva,11500,verdura en conserva,comestible
180,hallulla,7278,pan,comestible
161,cerdo,13134,carne,comestible
145,hamburguesa de verduras,8137,hamburguesa,comestible
374,pantalla papel,13760,pantalla de luz,no comestible
203,marraqueta,6335,pan,comestible
188,mix de verduras congeladas,13804,verduras congeladas,comestible
114,reineta,9430,pescado congelado,comestible
365,camiseta,12323,ropa,no comestible
118,limon,11756,verduras,comestible
328,hamburguesa de pollo,6638,hamburguesa,comestible
91,arvejas congeladas,7384,verduras congeladas,comestible
97,lechuga,8668,verduras,comestible
407,manzana,8989,frutas,comestible
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
